title,authors,average_rating,isbn,language_code,# num_pages
Madame Bovary,Gustave Flaubert,3.66,140621792,eng,362
Cliffsnotes on Flaubert's Madame Bovary (Cliffs Notes),James Lamar Roberts-Gustave Flaubert-CliffsNotes,3.23,822007800,eng,80
Madame Bovary,Gustave Flaubert-Donada  Peters,3.66,1400132746,eng,0
The Complete Works: The Revised Oxford Translation  Vol. 1,Aristotle-Jonathan Barnes,4.43,691099502,eng,2512
Politics,Aristotle,3.93,486414248,eng,368
Aristotle's Ethics (SparkNotes Literature Guides),SparkNotes,3,158663822X,eng,80
The Politics and The Constitution of Athens,Aristotle-Stephen Everson,3.94,521484006,eng,327
Middlemarch,George Eliot-Michel Faber,3.95,451529170,eng,904
Middlemarch,George Eliot-Megan McDaniel-Lynne Sharon Schwartz-Lynn Sharon Schwartz,3.95,1593080239,eng,848
Middlemarch,George Eliot-Harriet Walter,3.95,141804513,eng,6
Middlemarch,George Eliot,3.95,1857150066,eng,889
Silas Marner,George Eliot,3.63,1591940486,eng,279
1984,George Orwell-Mauricio Molina-Miguel Martínez Sarmiento,4.17,9685270880,spa,301
The Collected Tales,Nikolai Gogol-Richard Pevear-Larissa Volokhonsky,4.35,1862075948,en-GB,435
The Complete Tales of Nikolai Gogol  Volume 1,Nikolai Gogol-Constance Garnett-Leonard J. Kent,4.32,226300684,en-US,302
The Overcoat and Other Short Stories,Nikolai Gogol,4.22,486270572,rus,103
The Nose,Nikolai Gogol-Kevin Hawkes,3.9,688104649,eng,31
Dead Souls,Nikolai Gogol-Richard Pevear-Larissa Volokhonsky,3.99,1400043190,eng,445
Fathers and Sons,Ivan Turgenev-George Reavy-Jane Costlow,3.96,451529693,eng,244
Father to Son  (The Destroyer  #129),Warren Murphy-Richard Sapir-James Mullaney,4.1,373632444,eng,349
Enchantress from The Stars,Sylvia Engdahl,3.94,439374898,eng,275
From Far Away,Robert Munsch-Michael Martchenko-Saoussan Askar,4.02,155037396X,eng,33
From Far Away  Vol. 01,Kyoko Hikawa-Trina Robbins-Yuko Sawada-Walden Wong,4.31,1591165997,eng,190
Silos  Politics and Turf Wars: A Leadership Fable about Destroying the Barriers That Turn Colleagues Into Competitors,Patrick Lencioni,4.04,787976385,eng,224
Moral Politics: How Liberals and Conservatives Think,George Lakoff,4.03,226467716,eng,471
'Salem's Lot,Stephen King-Ron McLarty,4.01,743536959,en-US,0
El misterio de Salem's Lot,Stephen King-Marta I. Guastavino,4.01,8484504794,spa,509
'Salem's Lot,Stephen King,4.01,451098277,eng,817
In Silent Graves (Cedar Hill #1),Gary A. Braunbeck,3.8,843953292,eng,378
Prodigal Blues,Gary A. Braunbeck-Deena Warner,4.25,1587671093,eng,304
The Divine Comedy I: Hell,Dante Alighieri-Dorothy L. Sayers,4,140440062,eng,347
The Divine Comedy  Vol. 1: Inferno,Dante Alighieri-Mark Musa,4,142437220,eng,432
Could Do Better: Why Children Underachieve and What to Do About It,Harvey P. Mandel-Sander I. Marcus-Loral Dean,3.8,047115847X,eng,291
Inferno (The Divine Comedy  #1),Dante Alighieri-Allen Mandelbaum-Barry Moser-Gabriel Marruzzo-Laury Magnus,4,553213393,eng,396
Purgatorio (La Divina Commedia #2),Dante Alighieri-Robert M. Durling,4.02,195087453,ita,704
Dante Alighieri's Divine Comedy  the Inferno,Dante Alighieri,4,812034112,en-US,101
The Portable Dante,Dante Alighieri-Mark Musa,4.23,142437549,en-US,654
Purgatorio (The Divine Comedy  #2),Dante Alighieri-Allen Mandelbaum-Laury Magnus-Anthony Oldcorn-Daniel Feldman-Barry Moser,4.02,055321344X,eng,413
The Divine Comedy  Vol. 3: Paradise,Dante Alighieri-Mark Musa,3.95,140444432,eng,433
The Divine Comedy  Vol. 2: Purgatory,Dante Alighieri-Mark Musa,4.02,140444424,eng,399
Vita Nuova,Dante Alighieri-Mark Musa,3.87,253201624,eng,210
The Rime of the Ancient Mariner and Other Poems,Samuel Taylor Coleridge-Stanley Appelbaum,3.94,486272664,eng,76
Beowulf,Unknown-Burton Raffel,3.43,451527402,eng,160
Beowulf: A Dual-Language Edition,Unknown-Howell D. Chickering,3.43,1400096227,eng,464
Beowulf: A New Telling,Robert Nye,3.49,440905605,eng,94
Beowulf,Michael Morpurgo-Michael Foreman,3.85,763632066,eng,96
Seamus Heaney,Helen Vendler,4.08,674002059,eng,208
The Spirit Level: Poems,Seamus Heaney,4.15,374525110,eng,82
Death of a Naturalist,Seamus Heaney,4.29,571090249,eng,57
Seamus Heaney,Blake Morrison-Seamus Heaney,3.44,416319009,eng,95
New Selected Poems 1966-1987,Seamus Heaney,4.19,571143725,eng,246
Finders Keepers: Selected Prose  1971-2001,Seamus Heaney,4.15,571210910,en-GB,432
Canopy: A Work for Voice and Light in Harvard Yard,David   Ward-Parveen Adams-Seamus Heaney-Ivan Gaskell,0,916724948,eng,63
Electric Light,Seamus Heaney,3.95,571207987,en-GB,81
Norden,Seamus Heaney,4.09,3446187499,ger,127
Ausgewhälte Gedichte  1965-1975 =: Selected Poems  1965-1975,Seamus Heaney,4.23,3608951563,ger,255
Norte,Seamus Heaney-Margarita Ardanaz,4.09,8475173462,spa,155
The Odyssey,Homer-Robert Fitzgerald-Seamus Heaney,3.75,1857150945,eng,509
Beowulf: A New Translation,Unknown-Seamus Heaney,3.43,057120113X,eng,106
Paradise Lost,John Milton-Scott Elledge,3.81,393962938,eng,688
Tolkien: The Illustrated Encyclopaedia,David Day,4.13,684839792,eng,288
Ten Days to Self-Esteem,David D. Burns,3.97,688094554,eng,336
The Swords of Night and Day (The Drenai Saga  #11),David Gemmell,4.31,552146781,eng,640
The Adventures of Pippi Longstocking,Astrid Lindgren-Michael Chesworth,4.25,670876127,eng,290
Pippi Longstocking,Astrid Lindgren-Florence Lamborn-Louis S. Glanzman,4.12,142402494,eng,160
Pippi in the South Seas,Astrid Lindgren-Gerry Bothmer,4.11,670557110,en-US,126
Pippi Goes on Board,Astrid Lindgren-Florence Lamborn-Nancy Seligsohn,4.12,140309594,eng,140
The Children of Noisy Village,Astrid Lindgren-Ilon Wikland-Florence Lamborn,4.28,014032609X,eng,128
The Brothers Lionheart,Astrid Lindgren-Ilon Wikland-Jill M. Morgan,4.36,1930900244,eng,231
Christmas in Noisy Village,Astrid Lindgren-Ilon Wikland-Florence Lamborn,4.18,140503447,en-US,32
Ronia  the Robber's Daughter,Astrid Lindgren-Patricia Crampton,4.29,140317201,eng,176
Happy Times in Noisy Village,Astrid Lindgren-Ilon Wikland-Florence Lamborn,4.29,1883937663,eng,128
Pippi Calzaslargas,Astrid Lindgren-Blanca Ríos-Richard Kennedy,4.12,8426131921,spa,137
The Tomten,Astrid Lindgren-Harald Wiberg,4.24,698115910,eng,32
Lotta on Troublemaker Street,Astrid Lindgren-Robin Preiss Glasser,3.97,689846738,eng,55
The Tale of Peter Rabbit (Rabbit Ears),Beatrix Potter-طاهره آدینه پور,4.17,723247706,eng,72
The Tale of Peter Rabbit: A Pop-up Adventure,Beatrix Potter,4.17,723257043,en-US,16
Tale of Peter Rabbit,Beatrix Potter,4.17,723249865,eng,80
Tales of Peter Rabbit and His Friends,Beatrix Potter,4.25,517449013,eng,137
The Tale of Peter Rabbit,Beatrix Potter,4.17,723258732,eng,80
Beatrix Potter's Journal,Beatrix Potter,4.34,723258058,eng,32
The World of Peter Rabbit (Original Peter Rabbit  Books 1-23),Beatrix Potter,4.63,723257639,eng,1072
Beatrix Potter: A Life in Nature,Linda Lear,4.03,312369344,eng,584
The Tale of Jemima Puddle-Duck,Beatrix Potter,4.06,723247781,eng,57
The Tale of the Flopsy Bunnies,Beatrix Potter,4.19,072324779X,eng,58
Treasure Island,Chris Tait-Robert Louis Stevenson-Lucy Corvino-Arthur Pober,4.12,1402713185,eng,160
The Epic of Gilgamesh,Anonymous-N.K. Sandars,3.67,848805011,eng,127
The Epic of Gilgamesh,Anonymous-N.K. Sandars,3.67,141026286,eng,120
The Epic of Gilgamesh,Anonymous-Maureen Kovacs,3.67,804717117,eng,122
The Evolution of the Gilgamesh Epic,Jeffrey H. Tigay,3.82,865165467,eng,384
The Gilgamesh Epic and Old Testament Parallels,Alexander Heidel,3.97,226323986,eng,280
The Scarlet Letter and Other Writings,Nathaniel Hawthorne-Eugene Hudson Long-Seymour L. Gross-Richard C. Beatty-Sculley Bradley-Richmond Croom Beatty,3.39,393956539,eng,443
The Adventures of Huckleberry Finn,Mark Twain-Scott McKowen-Arthur Pober,3.81,1402726007,eng,305
The Adventures of Huckleberry Finn,Mark Twain-Peter Coveney,3.81,141439645,eng,394
Mark Twain's Adventures of Huckleberry Finn,Mark Twain-Richard P. Wasowski,3.81,764587277,eng,264
Collected Tales  Sketches  Speeches  & Essays 1852–1890,Mark Twain-Louis J. Budd,4.29,940450364,eng,1120
Mark Twain's Own Autobiography: The Chapters from the North American Review,Mark Twain-Michael J. Kiskis,3.83,299125408,eng,301
Candide,Voltaire,3.76,486266893,eng,129
Candide,Voltaire-Robert M. Adams,3.76,393960587,fre,224
Candide and Other Stories (World's Classics),Voltaire-Roger Pearson,3.94,192807269,en-US,301
Cliffs Notes on Voltaire's Candide,James K. Lowers-CliffsNotes-Voltaire,3.4,822002833,eng,80
Candide: or  Optimism,Voltaire-Peter Constantine-Diane Johnson,3.76,812972015,eng,144
Candide and Related Writings,Voltaire-David Wootton,3.82,872205460,fre,190
Philosophical Dictionary,Voltaire-Theodore Besterman,4.09,014044257X,en-US,400
What Is Goth?,Aurelio Voltaire,4.1,1578633222,eng,96
The Picture of Dorian Gray,Oscar Wilde-Andrew Elfenbein,4.07,321427130,eng,352
The Real Trial of Oscar Wilde,Merlin Holland,4.04,000715805X,eng,384
Complete Shorter Fiction,Oscar Wilde-Isobel Murray,4.16,192833766,eng,288
The Unmasking of Oscar Wilde,Joseph Pearce,4.25,1586170260,eng,412
The Decline and Fall of the Roman Empire,Edward Gibbon-Daniel J. Boorstin-Giovanni Battista Piranesi-Hans-Friedrich Mueller,3.97,375758119,eng,1312
The Decline and Fall of the Roman Empire,Edward Gibbon-Daniel J. Boorstin-Hans-Friedrich Mueller-Giovanni Battista Piranesi,3.97,345478843,eng,1258
The Decline and Fall of the Roman Empire,Edward Gibbon-Hugh Trevor-Roper,3.97,753818817,eng,680
The Christians and the Fall of Rome (Great Ideas),Edward Gibbon,3.57,143036246,en-US,96
The Portable Gibbon: The Decline and Fall of the Roman Empire,Edward Gibbon-Dero A. Saunders-Charles Alexander Robinson Jr.,3.97,140150609,eng,691
They Cage the Animals at Night,Jennings Michael Burch,4.31,451159411,eng,304
The Quilter's Homecoming (Elm Creek Quilts  #10),Jennifer Chiaverini,4.03,743260228,en-US,320
Absolutely Normal Chaos,Sharon Creech,3.91,330397818,en-GB,201
Absolutely Normal Chaos,Sharon Creech,3.91,439470145,eng,230
Absolutely Normal Chaos,Sharon Creech-Kate Forbes,3.91,788746642,eng,6
The Abominable Snowman Doesn't Roast Marshmallows (The Adventures of the Bailey School Kids  #50),Debbie Dadey-Marcia Thornton Jones,3.85,439650372,eng,96
Santa Claus Doesn't Mop Floors (The Adventures of the Bailey School Kids  #3),Debbie Dadey-Marcia Thornton Jones-John Steven Gurney,3.74,590444778,en-US,80
Angels Don't Know Karate (The Adventures Of The Bailey School Kids  #23),Debbie Dadey-Marcia Thornton Jones-John Steven Gurney,3.8,590849026,en-US,67
Werewolves Don't Run for President (The Adventures of the Bailey School Kids  #49),Debbie Dadey-Marcia Thornton Jones-John Steven Gurney,3.87,439650364,eng,96
Vampires Don't Wear Polka Dots (The Adventures of the Bailey School Kids  #1),Debbie Dadey-Marcia Thornton Jones-John Steven Gurney,3.8,059043411X,en-US,80
Werewolves Don't Go to Summer Camp (The Adventures of the Bailey School Kids  #2),Debbie Dadey-Marcia Thornton Jones-John Steven Gurney,3.83,590440616,eng,96
Phantoms Don't Drive Sports Cars (The Adventures of the Bailey School Kids  #32),Debbie Dadey-Marcia Thornton Jones-John Steven Gurney,3.78,590189824,eng,80
My Perfect Life (Confessions of a Teenage Drama Queen  #2),Dyan Sheldon,3.32,076362828X,eng,208
Be Happy or I'll Scream!: My Deranged Quest for the Perfect Husband  Family  and Life,Sheri Lynch,3.68,312342349,en-US,240
A Guide to the Words of My Perfect Teacher,Ngawang Pelzang-Padmakara Translation Group-Patrul Rinpoche-Alak Zenkar,4.61,1590300734,eng,336
All-American Girl (All-American Girl  #1),Meg Cabot,3.74,64472779,eng,398
Ready or Not (All-American Girl  #2),Meg Cabot,3.4,60724501,eng,238
Ready or Not (All-American Girl  #2),Meg Cabot,3.4,786282827,en-US,238
The Perfect Score (It's All About Attitude #5),Julie Kenner,3.25,373792735,eng,240
The Face on the Milk Carton (Janie Johnson  #1),Caroline B. Cooney,3.72,038532328X,eng,192
Teen Angst? Naaah...,Ned Vizzini,3.9,044023767X,eng,279
It's Kind of a Funny Story,Ned Vizzini,4.13,786851961,eng,444
Be More Chill,Ned Vizzini,3.68,786809965,eng,287
The Secret Life Of Bees,Sue Monk Kidd,4.04,096533192X,en-US,374
The New York Trilogy: City Of Glass  Ghosts  The Locked Room,Paul Auster,3.9,571149251,eng,314
Collected Prose: Autobiographical Writings  True Stories  Critical Essays  Prefaces  and Collaborations with Artists,Paul Auster,4.04,031242468X,eng,528
Hand to Mouth: A Chronicle of Early Failure,Paul Auster,3.62,312422326,eng,176
The Book of Illusions,Paul Auster,3.87,571212182,eng,336
In the Country of Last Things,Paul Auster,3.91,3425040847,eng,188
City of Glass: The Graphic Novel,Paul Karasik-David Mazzucchelli-Paul Auster-Art Spiegelman,3.92,571226337,eng,144
The Music of Chance,Paul Auster,3.9,571203035,eng,217
Moonraker's Bride,Madeleine Brent,4.3,385064454,eng,342
Moonraker,Ian Fleming,3.73,141187565,en-GB,247
Moonraker's Bride,Madeleine Brent,4.3,285620649,eng,352
Casino Royale/Live and Let Die/Moonraker,Ian Fleming,3.92,141187417,en-GB,510
Eat  Pray  Love,Elizabeth Gilbert,3.54,143038419,eng,368
Eat  Pray  Love: One Woman's Search for Everything Across Italy  India and Indonesia,Elizabeth Gilbert,3.54,1415926697,eng,13
The World as Will and Representation  Vol. 1,Arthur Schopenhauer-E.F.J. Payne,4.18,486217612,eng,534
The Schopenhauer Cure,Irvin D. Yalom,4.21,60938102,eng,358
Essays and Aphorisms,Arthur Schopenhauer-R.J. Hollingdale,4.17,140442278,eng,240
Essay on the Freedom of the Will,Arthur Schopenhauer-Konstantin Kolenda,4.15,486440117,eng,128
Schopenhauer: A Very Short Introduction,Christopher Janaway,3.78,192802593,eng,137
Mandarin Phrasebook,Anthony Garnaut-Lonely Planet,3.93,1741042305,en-GB,254
The Mandarins,Simone de Beauvoir,4.13,7203942,eng,752
Les Mandarins: Tome 2,Simone de Beauvoir,4.2,2070367703,fre,500
Die Mandarins von Paris,Simone de Beauvoir,4.13,3499107619,ger,1040
The Brothers K,David James Duncan,4.38,055337849X,eng,645
Where the Wild Things Are,Maurice Sendak,4.22,60254920,eng,40
Where the Wild Things Are,Maurice Sendak,4.22,99408392,eng,37
野獸國 (漢聲精選世界最佳兒童圖畫書．心理成長類  #36),Maurice Sendak,4.22,9575881044,zho,36
Essentials of Classic Italian Cooking,Marcella Hazan-Karin Kretschmann,4.17,039458404X,eng,704
The Italians: A Full-Length Portrait Featuring Their Manners and Morals,Luigi Barzini-Joan Emerson,3.85,684825007,eng,352
Peking to Paris,Luigi  Barzini-L.P. De Castelvecchio,3.78,912050268,eng,308
The Lost Lunar Baedeker: Poems of Mina Loy,Mina Loy-Roger L. Conover,4.17,374525072,eng,256
Paris Was Yesterday  1925-1939,Janet Flanner-Irving Drutman,3.87,156709902,eng,264
Koko,Peter Straub,3.56,7103670,en-GB,634
Lost Boy Lost Girl,Peter Straub,3.48,449149919,eng,368
Shadowland,Peter Straub,3.91,425188221,eng,468
Ghost Story,Peter Straub,3.95,671685635,eng,567
Mystery (Blue Rose Trilogy #2),Peter Straub-Gérard Coisne,3.94,2266126075,fre,728
Territoires (Le talisman des territoires  #2),Stephen King-Peter Straub-Bernard Cohen,4,2221093836,fre,549
Floating Dragon,Peter Straub,3.84,425189643,eng,595
Color: A Natural History of the Palette,Victoria Finlay,3.78,812971426,en-US,464
Vincent's Colors,Vincent van Gogh-Metropolitan Museum of Art-William Lach,4.16,811850994,eng,48
Flinx's Folly (Pip & Flinx #9),Alan Dean Foster,3.94,345450396,eng,288
The Doctor's House,Ann Beattie,2.97,743235010,eng,288
Chilly Scenes of Winter,Ann Beattie,3.91,679732349,en-GB,288
What Life Was Like in the Realm of Elizabeth: England  AD 1533-1603 (What Life Was Like),Time-Life Books,3.69,783554567,eng,144
What Life Was Like In the Age of Chivalry: Medieval Europe  AD 800-1500 (What Life Was Like),Denise Dersin,3.74,783554516,eng,168
What Life Was Like on the Banks of the Nile: Egypt  3050-30 BC,Denise Dersin,4.01,809493780,eng,192
What Life Was Like at the Rebirth of Genius: Renaissance Italy  AD 1400-1550 (What Life Was Like),Richard Stapleford-Time-Life Books,3.98,783554613,eng,168
What Life Was Like Among Druids and High Kings: Celtic Ireland  AD 400-1200 (What Life Was Like),Robin Chapman Stacey,3.61,783554559,eng,144
What Life Was Like Amid Splendor and Intrigue: Byzantine Empire  AD 330-1453,Ellen Anker-Denise Dersin,3.65,783554575,eng,144
What Life Was Like in the Time of War and Peace: Imperial Russia  AD 1696-1917 (What Life Was Like),Time-Life Books,3.75,783554591,eng,144
What Life Was Like in the Jewel in the Crown: British India  AD 1600-1905,Time-Life Books,3.64,783554605,eng,168
Birds of America,Lorrie Moore,4.11,312241224,eng,291
Self-Help,Lorrie Moore,4.2,571145345,eng,176
Who Will Run the Frog Hospital?,Lorrie Moore,3.79,1400033829,eng,160
Swimming Lessons and Other Stories from Firozsha Baag,Rohinton Mistry,3.93,067977632X,eng,250
Family Matters,Rohinton Mistry,4.01,037570342X,eng,500
Tales from Firozsha Baag [Jan 01  2002] Mistry  Rohinton,Rohinton Mistry,3.93,571218857,eng,250
Without Remorse (Jack Ryan Universe  #1),Tom Clancy,4.18,425143325,eng,750
Clave Red Rabbit (Jack Ryan  #2),Tom Clancy-Enric Tremps,3.67,8408065068,spa,720
Debt of Honor (Jack Ryan Universe  #8),Tom Clancy,4.05,425147584,eng,990
The Archimedes Effect (Tom Clancy's Net Force  #10),Steve Perry-Larry Segriff-Tom Clancy-Steve Pieczenik,3.98,425204243,eng,336
Hidden Agendas (Tom Clancy's Net Force  #2),Steve Perry-Tom Clancy-Steve Pieczenik,3.76,425171396,eng,366
Marine: A Guided Tour of a Marine Expeditionary Unit (Guided Tour),Tom Clancy,3.83,425154548,eng,336
The Teeth of the Tiger (Jack Ryan Universe  #12),Tom Clancy,3.64,141004924,eng,625
Executive Orders (Jack Ryan Universe  #9),Tom Clancy,4.06,6479758,eng,1273
State of War (Tom Clancy's Net Force  #7),Steve Perry-Tom Clancy-Steve Pieczenik-Larry Segriff,3.87,425188132,eng,384
Every Man a Tiger: The Gulf War Air Campaign (Commanders),Tom Clancy-Chuck Horner,3.75,425207366,eng,640
Wild Card (Tom Clancy's Power Plays  #8),Jerome Preisler-Tom Clancy-Martin Greenberg,3.95,425199118,eng,352
Carrier: A Guided Tour of an Aircraft Carrier (Guided Tour),Tom Clancy-Leon A. Edney,3.82,425166821,eng,368
Cloak and Dagger (Tom Clancy's Net Force Explorers  #17),John Helfers-Russell Davis-Tom Clancy-Steve Pieczenik,3.95,425183033,eng,208
Cybernation (Tom Clancy's Net Force  #6),Steve Perry-Tom Clancy-Steve Pieczenik,3.75,425182673,eng,368
Virtual Vandals (Tom Clancy's Net Force Explorers  #1),Diane Duane-Tom Clancy-Steve Pieczenik,4,425161730,eng,192
Cutting Edge (Tom Clancy's Power Plays  #6),Jerome Preisler-Tom Clancy-Martin Greenberg,3.85,425187055,eng,432
Mission of Honor (Tom Clancy's Op-Center  #9),Jeff Rovin-Tom Clancy-Steve Pieczenik,3.9,425186709,eng,432
The Bear and the Dragon (Jack Ryan Universe  #11),Tom Clancy,3.82,425180964,eng,1137
Breaking Point (Tom Clancy's Net Force  #4),Steve Perry-Tom Clancy-Steve Pieczenik,3.7,425176932,eng,368
Airborne: A Guided Tour Of An Airborne Task Force,Tom Clancy,3.76,425157709,eng,326
Red Rabbit (Jack Ryan  #2),Tom Clancy,3.67,141004916,en-GB,928
Red Rabbit (Jack Ryan  #2),Tom Clancy,3.67,739429027,eng,930
Red Rabbit (Jack Ryan Universe  #3),Tom Clancy,3.67,399148701,eng,640
John Deere Farm Tractors: A History of the John Deere Tractor,Randy Leffingwell,4.22,879387556,eng,192
Corvette: Fifty Years,Randy Leffingwell-David Newhardt,4.06,760320063,eng,384
Tough to Tackle,Matt Christopher-Harvey Kidder,3.86,316140589,eng,139
Complete Guide to OneNote,W. Frederick Zimmerman-Chris Pratley,4.25,1590592166,eng,412
Three Radio Mysteries  Volume One,Agatha Christie-Mike Walker-Tom Hollander-Maria Friedman-Emilia Fox-Julian Rhind-Tutt,3.67,563536160,eng,2
The Goon Show  Volume 4: My Knees Have Fallen Off!,NOT A BOOK,5,563388692,eng,2
The Goon Show: Moriarty Where Are You?,NOT A BOOK,4.5,563388544,eng,2
The Goon Show  Volume 11: He's Fallen in the Water!,NOT A BOOK,5,563388323,eng,2
Power: Die 48 Gesetze Der Macht,Robert Greene-Birgit Brandau-Hartmut Schickert,4.19,3423362480,ger,536
The Echo Maker,Richard Powers,3.37,374146357,eng,451
Power vs. Force,David R. Hawkins,4.22,1561709336,en-US,341
The Power of Art,Simon Schama,3.88,61176109,en-US,448
Goodbye  Darkness: A Memoir of the Pacific War,William Manchester,4.18,316501115,eng,401
A World Lit Only by Fire: The Medieval Mind and the Renaissance: Portrait of an Age,William Manchester,3.85,316545562,eng,322
The Last Lion 2: Winston Spencer Churchill: Alone  1932-40,William Manchester,4.47,316545120,eng,756
The Glory and the Dream: A Narrative History of America 1932-72,William Manchester,4.42,553345893,eng,1397
The Last Lion: Winston Spencer Churchill: Visions of Glory  1874-1932,William Manchester,4.43,316545031,en-US,992
The Last Lion: Winston Spencer Churchill: Visions of Glory 1874-1932,William Manchester,4.43,385313489,eng,992
Moon-Flash (Kyreol  #1-2),Patricia A. McKillip,3.73,142403016,eng,304
Harrowing the Dragon,Patricia A. McKillip,3.94,441014437,eng,308
Cygnet (Cygnet  #1-2),Patricia A. McKillip,4.08,441014836,en-US,406
Riddle-Master (Riddle-Master  #1-3),Patricia A. McKillip,4.22,441005969,eng,578
Solstice Wood (Winter Rose  #2),Patricia A. McKillip,3.76,441014658,eng,278
Od Magic,Patricia A. McKillip,3.98,441013341,eng,315
Winter Rose (Winter Rose  #1),Patricia A. McKillip,3.85,1904233074,eng,264
25 Ways to Win with People: How to Make Others Feel Like a Million Bucks,John C. Maxwell-Les Parrott III,4.11,785260943,eng,208
Today Matters: 12 Daily Practices to Guarantee Tomorrow's Success,John C. Maxwell,4.2,446693111,eng,336
Winning with People Workbook,John C. Maxwell,4.38,785260900,eng,256
Evermeet: Island of the Elves,Elaine Cunningham,3.91,786913541,eng,490
The Best of the Realms: The Stories of Elaine Cunningham (Forgotten Realms: The Best of the Realms  #3),Elaine Cunningham,3.98,786942886,en-GB,345
Southwest France (Lonely Planet Regional Guide),Julia  Wilkinson-Lonely Planet-John   King,3,1864503823,eng,400
Changeling Storytellers Guide,Mark  Hunter-Ian Lemke,3.37,1565047087,eng,139
The Blood Wood (Earthdawn 6113),FASA Corporation-Ian Lemke-Louis J. Prosperi,3.69,1555603130,eng,152
Basin and Range,John McPhee,4.19,374516901,eng,240
Assembling California,John McPhee,4.17,374523932,eng,294
Qué Se Puede Esperar Cuando Se Está Esperando,Heidi Murkoff-Arlene Eisenberg,3.77,076113686X,spa,624
Master of Swords (Mageverse #4),Angela Knight,4.2,425209210,eng,294
Master of the Night (Mageverse #1),Angela Knight,3.88,425198804,eng,296
Master of Wolves (Mageverse  #3),Angela Knight,4.17,425207439,eng,294
Captive Dreams,Angela Knight-Diane Whiteside,3.91,425207757,en-US,336
Master of Dragons (Mageverse #5),Angela Knight,4.22,425214249,eng,293
Master of the Moon (Mageverse #2),Angela Knight,4.13,425203573,eng,336
Jane's Warlord (Warlord #1),Angela Knight,3.97,425196844,eng,320
Over The Moon (Mageverse #3.5),Angela Knight-MaryJanice Davidson-Virginia Kantra-Sunny,3.9,425213439,eng,330
Blackmailed Into Bed,Heidi Betts,3.38,037376779X,eng,179
Bedded Then Wed,Heidi Betts,3.41,373767617,eng,181
Blame it on the Blackout,Heidi Betts,3.49,373766629,eng,187
Mr. and Mistress (Dynasties: The Elliotts #5),Heidi Betts,3.38,373767234,eng,185
Prentice Hall World Studies: Eastern Hemisphere: Geography  History  Culture,Heidi Hayes Jacobs-Michal L. LeVasseur-Kate Kinsella,2,131816594,eng,892
Artesia Volume 1,Mark Smylie,4,193238622X,eng,192
Martin and John,Dale Peck-Jim Lewis,3.73,374530300,eng,248
Law of Enclosures,Dale Peck,3.65,067100347X,eng,320
The Drift House: The First Voyage,Dale Peck,3.64,159990005X,eng,437
Through a Brazen Mirror,Delia Sherman-Cortney Skinner-Ellen Kushner,3.38,1885865244,eng,100
The Porcelain Dove,Delia Sherman,3.42,452272262,eng,416
Die Blume der Diener,Delia Sherman-Michael Siefener,3.38,3453188217,ger,318
Interfictions: An Anthology of Interstitial Writing,Delia Sherman-Theodora Goss-K. Tempest Bradford-Karen Jordan Allen-Rachel Pollack-Veronica Schanoes-Mikal Trimm-Colin Greenland-Vandana Singh-Matthew Cheney-Léa Silhol-Adrián Ferrero-Holly Phillips-Catherynne M. Valente-Christopher Barzak-Leslie What-Anna Tambour-Joy Marchand-Jon Singer-Csilla Kleinheincz-Michael J. DeLuca,3.77,1931520240,eng,291
The Fall of the Kings (Riverside  #3),Ellen Kushner-Delia Sherman,3.65,553585940,eng,510
Killing Time,Cynthia Harrod-Eagles,3.97,380732025,en-US,280
The Tangled Thread (Morland Dynasty  #10),Cynthia Harrod-Eagles,4.31,751506478,eng,474
The Flood-Tide (Morland Dynasty  #9),Cynthia Harrod-Eagles,4.24,075150646X,eng,428
The White Road (Morland Dynasty  #28),Cynthia Harrod-Eagles,4.26,751533459,eng,480
The Maiden (The Morland Dynasty  #8),Cynthia Harrod-Eagles,4.27,751506451,eng,413
The Oak Apple (Morland Dynasty  #4),Cynthia Harrod-Eagles,4.17,751506419,eng,403
The Emperor (The Morland Dynasty  #11),Cynthia Harrod-Eagles,4.27,751506486,eng,512
The Nature of the Child,Jerome Kagan,3.42,465048528,eng,352
Confessions of a Pagan Nun,Kate Horsley,3.88,1570629137,eng,191
Westminster Abby,Micol Ostow,3.41,142404136,en-US,192
Changelings,Anne McCaffrey-Elizabeth Ann Scarborough,3.76,345470036,en-US,320
Dragon's Fire (Pern  #19),Anne McCaffrey-Todd McCaffrey,3.97,345480287,eng,366
Maelstrom,Anne McCaffrey-Elizabeth Ann Scarborough,3.86,345470044,eng,237
The Mark of the Crown (Star Wars: Jedi Apprentice  #4),Jude Watson,3.72,590519344,eng,131
The Sea,John Banville-John      Lee,3.51,739333771,eng,0
Joy Within,Joan Goldstein-Manuela Soares,4.38,671763792,en-US,144
Butch/Femme,Manuela Soares-Judy Grahn-Nisa Donnelly,3.62,517702223,eng,64
Expository Writing: Mini-Lessons * Strategies * Activities,Tara McCarthy-Drew Hires-Jaime Lucero-Vincent Ceci,4.33,590103873,eng,88
Persuasive Writing: Mini-Lessons  Strategies  Activities,Tara MacCarthy-Drew Hires,3.2,590209345,eng,64
McDougal Littell Science: Student Edition Grade 6 Earth Science 2006,McDougal Littell-Douglas W. Carnine,2.5,618615385,eng,972
Daisy Bates: Civil Rights Crusader from Arkansas,Grif Stockley,3.55,1578068010,eng,340
